Bee_nb;Species;Orchard;Boxe;Emergence;Status;experiment;Fitness
7;O.bicornis;1;1;2;1;field; Emerged
8;O.bicornis;1;1;2;1;field; Emerged
9;O.bicornis;1;1;2;1;field; Emerged
10;O.bicornis;1;1;2;1;field; Emerged
11;O.bicornis;1;1;2;1;field; Emerged
12;O.bicornis;1;1;2;1;field; Emerged
13;O.bicornis;1;1;2;1;field; Emerged
14;O.bicornis;1;1;2;1;field; Emerged
15;O.bicornis;1;1;2;1;field; Emerged
16;O.bicornis;1;1;2;1;field; Emerged
17;O.bicornis;1;1;2;1;field; Emerged
18;O.bicornis;1;1;2;1;field; Emerged
19;O.bicornis;1;1;2;1;field; Emerged
20;O.bicornis;1;1;2;1;field; Emerged
21;O.bicornis;1;1;2;1;field; Emerged
22;O.bicornis;1;1;2;1;field; Emerged
23;O.bicornis;1;1;2;1;field; Emerged
24;O.bicornis;1;1;2;1;field; Emerged
25;O.bicornis;1;1;2;1;field; Emerged
26;O.bicornis;1;1;2;1;field; Emerged
27;O.bicornis;1;1;2;1;field; Emerged
28;O.bicornis;1;1;2;1;field; Emerged
29;O.bicornis;1;1;2;1;field; Emerged
30;O.bicornis;1;1;2;1;field; Emerged
31;O.bicornis;1;1;2;1;field; Emerged
32;O.bicornis;1;1;2;1;field; Emerged
33;O.bicornis;1;1;2;1;field; Emerged
34;O.bicornis;1;1;2;1;field; Emerged
35;O.bicornis;1;1;2;1;field; Emerged
36;O.bicornis;1;1;2;1;field; Emerged
37;O.bicornis;1;1;2;1;field; Emerged
38;O.bicornis;1;1;2;1;field; Emerged
39;O.bicornis;1;1;2;1;field; Emerged
40;O.bicornis;1;1;2;1;field; Emerged
41;O.bicornis;1;1;2;1;field; Emerged
42;O.bicornis;1;1;2;1;field; Emerged
43;O.bicornis;1;1;2;1;field; Emerged
44;O.bicornis;1;1;2;1;field; Emerged
45;O.bicornis;1;1;2;1;field; Emerged
46;O.bicornis;1;1;4;1;field; Emerged
47;O.bicornis;1;1;4;1;field; Emerged
48;O.bicornis;1;1;4;1;field; Emerged
49;O.bicornis;1;1;4;1;field; Emerged
50;O.bicornis;1;1;4;1;field; Emerged
51;O.bicornis;1;1;4;1;field; Emerged
52;O.bicornis;1;1;4;1;field; Emerged
53;O.bicornis;1;1;4;1;field; Emerged
54;O.bicornis;1;1;4;1;field; Emerged
55;O.bicornis;1;1;4;1;field; Emerged
56;O.bicornis;1;1;4;1;field; Emerged
57;O.bicornis;1;1;4;1;field; Emerged
58;O.bicornis;1;1;4;1;field; Emerged
59;O.bicornis;1;1;4;1;field; Emerged
60;O.bicornis;1;1;4;1;field; Emerged
61;O.bicornis;1;1;4;1;field; Emerged
62;O.bicornis;1;1;4;1;field; Emerged
63;O.bicornis;1;1;4;1;field; Emerged
64;O.bicornis;1;1;4;1;field; Emerged
65;O.bicornis;1;1;4;1;field; Emerged
66;O.bicornis;1;1;4;1;field; Emerged
67;O.bicornis;1;1;4;1;field; Emerged
68;O.bicornis;1;1;4;1;field; Emerged
69;O.bicornis;1;1;4;1;field; Emerged
70;O.bicornis;1;1;4;1;field; Emerged
71;O.bicornis;1;1;4;1;field; Emerged
72;O.bicornis;1;1;4;1;field; Emerged
73;O.bicornis;1;1;4;1;field; Emerged
74;O.bicornis;1;1;4;1;field; Emerged
75;O.bicornis;1;1;4;1;field; Emerged
76;O.bicornis;1;1;4;1;field; Emerged
77;O.bicornis;1;1;4;1;field; Emerged
78;O.bicornis;1;1;4;1;field; Emerged
79;O.bicornis;1;1;4;1;field; Emerged
