Parcel ;Introduced_bee;Tree;Nb_buds;Release_date ;Monitoring_date;Day;Weather_grade;Tree_Bloom;Visit;Specie;time_F1;time_F2;time_F3;time_F4;time_F5;time_F6;time_F7;time_F8;time_F9;time_F10;time_F11;time_F12;time_F13;time_F14;time_F15;Average_time/flower;Stderror;nb of flower;
2;cornuta;cherry;1653;01/04/2019;25/04/2019;24;1;-80;10;O.cornuta;3;3;6;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1.414213562;4;
3;control;cherry;1091;01/04/2019;19/04/2019;18;1;80;1;O.cornutaM;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;1;
3;control;cherry;1092;01/04/2019;19/04/2019;18;1;80;2;A.mellifera;10;15;14;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.75;2.217355783;4;
3;control;cherry;1093;01/04/2019;19/04/2019;18;1;80;3;O.cornuta;6;7;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.333333333;0.577350269;3;
3;control;cherry;1094;01/04/2019;19/04/2019;18;1;80;4;A.mellifera;8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.5;0.707106781;2;
3;control;cherry;1095;01/04/2019;19/04/2019;18;1;80;5;O.cornuta;9;9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.666666667;0.577350269;3;
3;control;cherry;1096;01/04/2019;19/04/2019;18;1;80;6;A.mellifera;32;14;5;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.25;11.23610253;4;
3;control;cherry;1097;01/04/2019;19/04/2019;18;1;80;7;A.mellifera;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;0;1;
3;control;cherry;1098;01/04/2019;19/04/2019;18;1;80;8;O.cornuta;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;0;1;
3;control;cherry;1099;01/04/2019;19/04/2019;18;1;80;9;O.cornutaM;6;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;1.414213562;2;
3;control;cherry;1100;01/04/2019;19/04/2019;18;1;80;10;O.cornuta;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;0;1;
3;control;cherry;1101;01/04/2019;19/04/2019;18;1;80;11;O.cornuta;7;8;9;7;11;7;3;15;14;9;7;6;4;6;10;8.2;3.299350585;15;
3;control;cherry;1100;01/04/2019;21/04/2019;20;1;100;1;O.cornuta;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;1;
3;control;cherry;1101;01/04/2019;21/04/2019;20;1;100;2;A.mellifera;14;6;23;22;16;21;26;NA;NA;NA;NA;NA;NA;NA;NA;18.28571429;6.799859943;7;
3;control;cherry;1100;01/04/2019;21/04/2019;20;1;100;3;O.cornutaM;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;0.707106781;2;
3;control;cherry;1101;01/04/2019;21/04/2019;20;1;100;4;A.mellifera;29;12;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;10.44030651;3;
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;1;B.terrestris;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;2;
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;2;B.terrestris;3;3;2;3;2;3;3;4;3;3;5;6;6;3;3;3.466666667;1.245945806;15;
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;3;O.cornuta;4;4;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.75;0.5;4;
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;4;A.mellifera;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;0;1;
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;5;A.mellifera;18;8;4;4;8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.5;5.128352562;6;
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;6;A.mellifera;4;8;10;4;10;3;8;8;11;20;5;9;7;NA;NA;8.230769231;4.361839179;13;
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;7;O.cornuta;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;2;
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;8;O.cornuta;6;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.5;2.121320344;2;
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;9;B.terrestris;6;4;2;7;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.8;1.923538406;5;
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;1;B.terrestris;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;0;1;
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;2;B.terrestris;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;0.707106781;2;
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;3;B.terrestris;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;1;
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;4;B.terrestris;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;1;
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;5;B.terrestris;15;7;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.75;4.991659711;4;
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;6;B.terrestris;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;0;1;
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;7;B.terrestris;3;4;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.333333333;3.214550254;3;
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;8;B.terrestris;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;0.707106781;2;
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;80;1;B.terrestris;2;2;4;4;3;3;3;2;3;3;5;3;5;6;3;3.4;1.183215957;15;
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;80;2;A.mellifera;6;5;11;6;7;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.833333333;2.136976057;6;
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;80;3;A.mellifera;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;1;
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;80;4;O.cornuta;3;3;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0.816496581;4;
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;80;5;O.cornuta;5;3;2;7;3;2;2;NA;NA;NA;NA;NA;NA;NA;NA;3.428571429;1.902379462;7;
