;Code;Parcel;Introduced_bee;Tree;Collection_date;Bee;Nb_sample;Ranuculacea;Rosacea;Quercus;Crucifera;Ericaceae;Fagus;Ilex;Salix;C..fenestrada...Asteràcia.fenestrada....Taraxacum.or.similar..;Pinus;Juglans;Aesculus;Corylus;Olea;unknown;Lamiacase..thymus..;Helleborus;Lamium;Betulaceae;Monocot;Polygonum
95;P4conC9;3;control;cherry;19/04/2019;cornuta;9;0;7.874015748;0;19.68503937;0;0;0;64.56692913;0;0;0;0;0;0;0;0;0;0;0;7.086614173;0.787401575
96;P5bC1;5;bicornis;cherry;03/04/2019;cornuta;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;P5bC10;5;bicornis;cheery;15/04/2019;cornuta;10;0;87.00564972;0;0;0;0;0;12.99435028;0;0;0;0;0;0;0;0;0;0;0;0;0
98;P5bC11;5;bicornis;cherry;15/04/2019;cornuta;11;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;P5bC12;5;bicornis;cheery;15/04/2019;cornuta;12;0;99.43502825;0;0;0;0;0;0.564971751;0;0;0;0;0;0;0;0;0;0;0;0;0
100;P5bC13;5;bicornis;cherry;17/04/2019;cornuta;13;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
101;P5bC14;5;bicornis;cheery;17/04/2019;cornuta;14;0;90.41916168;0;0;0;0;0;9.580838323;0;0;0;0;0;0;0;0;0;0;0;0;0
102;P5bC22;5;bicornis;cheery;21/04/2019;bicornis;22;0;0;0;0;0;0;0;2.23880597;0;0;97.01492537;0;0.746268657;0;0;0;0;0;0;0;0
103;P5bC23;5;bicornis;cherry;21/04/2019;bicornis;23;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
104;P5bC24;5;bicornis;cheery;21/04/2019;bicornis;24;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
105;P5bC25;5;bicornis;cherry;21/04/2019;cornuta;25;0;65.15151515;0;0;0;0;0;34.84848485;0;0;0;0;0;0;0;0;0;0;0;0;0
106;P5bC26;5;bicornis;cheery;21/04/2019;cornuta;26;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
107;P5bC27;5;bicornis;cherry;21/04/2019;cornuta;27;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
108;P5bC28;5;bicornis;cheery;23/04/2019;bicornis;28;0.8;0;99.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;P5bC29;5;bicornis;cherry;23/04/2019;bicornis;29;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;P5bC30;5;bicornis;cheery;23/04/2019;bicornis;30;50;49.43181818;0;0;0;0;0;0.568181818;0;0;0;0;0;0;0;0;0;0;0;0;0
111;P5bC31;5;bicornis;cherry;23/04/2019;cornuta;31;0;54.54545455;0;0;0;0;0;44.6969697;0;0;0.757575758;0;0;0;0;0;0;0;0;0;0
112;P5bC32;5;bicornis;cheery;23/04/2019;cornuta;32;0;92.8057554;0;0;0;0;0;6.474820144;0;0;0.71942446;0;0;0;0;0;0;0;0;0;0
113;P5bC4;5;bicornis;cheery;09/04/2019;cornuta;4;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
